id,q_num,source_doc,bank_answer,bank_option_count,docx_block_id,docx_year_half,docx_q_num,docx_answer,docx_option_count,match_score,answer_status,needs_review
1,1,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#1,B,4,1,2020年下半年,1,B,1,0.99,same,False
2,2,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#2,A,4,2,2020年下半年,2,A,1,0.99,same,False
3,3,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#3,D,4,3,2020年下半年,3,D,1,0.99,same,False
4,4,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#4,A,4,4,2020年下半年,4,A,4,0.99,same,False
5,5,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#5,C,4,5,2020年下半年,5,C,1,0.99,same,False
6,6,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#6,A,4,6,2020年下半年,6,A,1,0.99,same,False
7,7,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#7,A,4,7,2020年下半年,7,A,1,0.99,same,False
8,8,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#8,B,4,8,2020年下半年,8,B,1,0.99,same,False
9,9,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#9,B,4,9,2020年下半年,9,B,1,0.99,same,False
10,10,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#10,D,4,10,2020年下半年,10,D,4,0.99,same,False
11,11,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#11,C,4,11,2020年下半年,11,C,1,0.99,same,False
12,12,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#12,B,4,12,2020年下半年,12,B,4,0.99,same,False
13,13,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#13,C,4,13,2020年下半年,13,C,1,0.99,same,False
14,14,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#14,D,4,14,2020年下半年,14,D,1,0.99,same,False
15,15,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#15,B,4,15,2020年下半年,15,B,2,0.99,same,False
16,16,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#16,A,4,16,2020年下半年,16,A,2,0.99,same,False
17,17,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#17,D,4,17,2020年下半年,17,D,2,0.99,same,False
18,18,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#18,C,4,18,2020年下半年,18,C,1,0.99,same,False
19,19,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#19,D,4,19,2020年下半年,19,D,4,0.99,same,False
20,20,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#20,B,4,20,2020年下半年,20,B,1,0.99,same,False
21,21,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#21,C,4,21,2020年下半年,21,C,1,0.99,same,False
22,22,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#22,B,4,22,2020年下半年,22,B,1,0.99,same,False
23,23,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#23,A,4,23,2020年下半年,23,A,4,0.99,same,False
24,24,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#24,B,4,24,2020年下半年,24,B,1,0.99,same,False
25,25,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#25,D,4,25,2020年下半年,25,D,1,0.99,same,False
26,26,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#26,C,4,26,2020年下半年,26,C,1,0.99,same,False
27,27,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#27,C,4,27,2020年下半年,27,C,1,0.99,same,False
28,28,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#28,B,4,28,2020年下半年,28,B,1,0.99,same,False
29,29,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#29,D,4,29,2020年下半年,29,D,1,0.99,same,False
30,30,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#30,B,4,30,2020年下半年,30,B,4,0.99,same,False
31,31,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#31,B,4,31,2020年下半年,31,B,3,0.99,same,False
32,32,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#32,A,4,32,2020年下半年,34,A,1,0.99,same,False
33,33,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#33,A,4,33,2020年下半年,35,A,1,0.99,same,False
34,34,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#34,D,4,34,2020年下半年,36,D,4,0.99,same,False
35,35,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#35,B,4,35,2020年下半年,37,B,1,0.99,same,False
36,36,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#36,D,4,36,2020年下半年,38,D,1,0.99,same,False
37,37,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#37,A,4,37,2020年下半年,39,A,1,0.99,same,False
38,38,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#38,C,4,38,2020年下半年,40,C,4,0.99,same,False
39,39,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#39,C,4,39,2020年下半年,41,C,1,0.99,same,False
40,40,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#40,A,4,40,2020年下半年,42,A,1,0.99,same,False
41,41,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#41,B,4,41,2020年下半年,43,B,1,0.99,same,False
42,42,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#42,B,4,42,2020年下半年,44,B,1,0.99,same,False
43,43,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#43,C,4,43,2020年下半年,45,C,4,0.99,same,False
44,44,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#44,D,4,44,2020年下半年,46,D,1,0.99,same,False
45,45,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#45,D,4,45,2020年下半年,47,D,1,0.99,same,False
46,46,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#46,D,4,46,2020年下半年,48,D,4,0.99,same,False
47,47,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#47,A,4,47,2020年下半年,49,A,1,0.99,same,False
48,48,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#48,D,4,48,2020年下半年,50,D,1,0.99,same,False
49,49,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#49,D,4,49,2020年下半年,51,D,4,0.99,same,False
50,50,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#50,A,4,50,2020年下半年,52,A,2,0.99,same,False
51,51,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#51,C,4,51,2020年下半年,53,C,1,0.99,same,False
52,52,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#52,A,4,52,2020年下半年,54,A,4,0.99,same,False
53,53,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#53,D,4,53,2020年下半年,55,D,2,0.99,same,False
54,54,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#54,C,4,54,2020年下半年,56,C,4,0.99,same,False
55,55,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#55,A,4,55,2020年下半年,57,A,1,0.99,same,False
56,56,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#56,A,4,56,2020年下半年,58,A,1,0.99,same,False
57,57,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#57,B,4,57,2020年下半年,59,B,4,0.99,same,False
58,58,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#58,D,4,58,2020年下半年,60,D,4,0.99,same,False
59,59,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#59,C,4,59,2020年下半年,61,C,2,0.99,same,False
